Package Name,Reviewer name,Review,Rating
com.burakgon.dnschanger,Bynum Bynum,Works very well.,4
com.burakgon.dnschanger,MANI Karimi,WOW 😍app is very good 😊 nice 👍,5
com.burakgon.dnschanger,myo myatheinsyh,i like this,5
com.burakgon.dnschanger,Satish maurya Maurya,I realise it's really working best dns app,5
com.burakgon.dnschanger,Mr.Sudhanshu Gaming,God level,5
com.burakgon.dnschanger,Pedram Spoky,NoMpninodd,5
com.burakgon.dnschanger,Ronak Raoriya,Nice app,1
com.burakgon.dnschanger,Digeswar Naik,Op,5
com.burakgon.dnschanger,Shahid K,Better,4
com.burakgon.dnschanger,Saman,💥,5
com.burakgon.dnschanger,Michael Anderson,Does exactly what I need it to with minimal ads.,5
com.burakgon.dnschanger,ReZa_ _HoSaInI,Goooooood👏👏,5
com.burakgon.dnschanger,Rabbi yt,999ms 🙄🙄🙄,1
com.burakgon.dnschanger,Dhirajkumar Das,Good,5
com.burakgon.dnschanger,naruto naruto,عالیح,5
com.burakgon.dnschanger,tama pidum,Nice app,5
com.burakgon.dnschanger,3laa 3bd Elsalam,like,5
com.burakgon.dnschanger,arian arab,Best app for play game,5
com.burakgon.dnschanger,Sena Balouch,عالی,5
com.burakgon.dnschanger,Amirali Asadi,Great,5
com.burakgon.dnschanger,Abhinash Murmu,Th u,4
com.burakgon.dnschanger,Akmal Rosman,Good,5
com.burakgon.dnschanger,HM Ebrahim KK,Good,4
com.burakgon.dnschanger,HEŁŁRaîser,Excellent app ❤️❤️,5
com.burakgon.dnschanger,Frederick Espinosa,Good for my phone,5
com.burakgon.dnschanger,Ali Tirnaz,عالی,5
com.burakgon.dnschanger,Hi iam austin Hi Iam austin,It is so usefull for free 🔥,5
com.burakgon.dnschanger,Shahaban Kannoth,👍👍,5
com.burakgon.dnschanger,sn sn,باا,5
com.burakgon.dnschanger,Sameeer Sinha Sameer sinha,MERA NET IS APP SE 2X SLOW HO GAYA,1
com.burakgon.dnschanger,Peter Shabalala,Exceptional!!..,4
com.burakgon.dnschanger,Ledice BOSS,Incredible app,4
com.burakgon.dnschanger,Rupeshkashyap ff,Wow nahi hone wala bhi ho gaya,4
com.burakgon.dnschanger,Mohamadhassan Hoseini,Perfect,5
com.burakgon.dnschanger,ABHISHEK UDAY NARAYAN,Very bad allll vrost appp,1
com.burakgon.dnschanger,Kajol Mal,Ttt,5
com.burakgon.dnschanger,anonymous mask,Good job 👍👍,5
com.burakgon.dnschanger,Marlon Baltazar,A question. What is the slowest dns that you have but something that doesn't completely disconnect you from a game. I'm looking for a slow upload speed and download speed.,5
com.burakgon.dnschanger,Samurai Z,Good,5
com.burakgon.dnschanger,Mohamad Khodakarami,It's very good ☺️😌😌😊,5
com.burakgon.dnschanger,THE_SH4DOW,"I love it, it's actually work and make the internet better and faster I hope more work on it to improve it in the future ☺️❤️",5
com.burakgon.dnschanger,katexam Leyann,4 stars for now😉😉,4
com.burakgon.dnschanger,King I'm X,Good,5
com.burakgon.dnschanger,ali ali,Nice,5
com.burakgon.dnschanger,Ayan Mondal,Very nice app💖,5
com.burakgon.dnschanger,NTG MAHAKALA,Nice i am happy,5
com.burakgon.dnschanger,Trover Daniel,Is it good,5
com.burakgon.dnschanger,20-MECH-323 TAMILARASAN.G,Wasn't ok,5
com.burakgon.dnschanger,PaN,Love it,5
com.burakgon.dnschanger,KURD. MIXER,gonm,5
com.burakgon.dnschanger,Yyyyooones Shrtrt,خیلی خوب است پینگ پایین مییاره,5
com.burakgon.dnschanger,DEATH TEAM YT,Nice,5
com.burakgon.dnschanger,Ravi Hasda,Must be fine,4
com.burakgon.dnschanger,Pro Gaming Tools,Excellent app but needs testing to be more stable because it randomly freezes and doesn't give the result But overall great experience and it works marvelously,5
com.burakgon.dnschanger,Arif Ansari,Nice,5
com.burakgon.dnschanger,psycho killer,😌,5
com.burakgon.dnschanger,Lydia Chalmers,Very good quality service 😊,5
com.burakgon.dnschanger,Jeff Rothgeb,Yes I love it so much,5
com.burakgon.dnschanger,mdahadali mdahadali,Good,5
com.burakgon.dnschanger,Ayzrol Idzham Ahmad Rizal,Ok,5
com.burakgon.dnschanger,Rashid Alam,Like that,5
com.burakgon.dnschanger,mohammad sotodeh,Gg,5
com.burakgon.dnschanger,amir mohamad mousavi,Best dns changer,5
com.burakgon.dnschanger,Vusizwe Sangweni,Good app,4
com.burakgon.dnschanger,احسان نراقی,Good,5
com.burakgon.dnschanger,Joel Reagan,So far I'm loving it ..much faster and better connection...Wow !!!,5
com.burakgon.dnschanger,16Bit Doggo,Amazing app to make the internet just that ONE BIT faster. Couldn't be happier. ☺️,5
com.burakgon.dnschanger,Wan 4u,Easy use,5
com.burakgon.dnschanger,sajad JOZAGHEIAN,"It is a comprehensive and very useful application. It has been used for several months now I did not see anything better than this program, be sure to download it if your internet speed increases several times with this DNS, thanks to the creator of this program and the powerful team of this ❤️🌟🏅 ❤️🌟🏅",5
com.burakgon.dnschanger,Tar Tar,Good,5
com.burakgon.dnschanger,Arsham Afshar,عالیه,5
com.burakgon.dnschanger,Jawaharram Marabi,This app is very good I like it..... thanks for making this app,5
com.burakgon.dnschanger,skar clint,Nice app(✷‿✷),5
com.burakgon.dnschanger,Vishnu Vishnu,Good,5
com.burakgon.dnschanger,jahanam,🔥🤍,5
com.burakgon.dnschanger,YOUNG HEARTS,Good app for network problem,4
com.burakgon.dnschanger,yuvraj banjare,Bekar app,2
com.burakgon.dnschanger,T L,A for a way...,5
com.burakgon.dnschanger,ATA.V,نویس,5
com.burakgon.dnschanger,علی نصرالهی,Nice😉❤,5
com.burakgon.dnschanger,محمدمهدی افشار,Good,5
com.burakgon.dnschanger,Kakarot,Great app,4
com.burakgon.dnschanger,HMID BKRANI,Good,5
com.burakgon.dnschanger,Luffy Mugiwara,Good work,5
com.burakgon.dnschanger,Ram Lila,Op,5
com.burakgon.dnschanger,Taha Lotfi,من کیرم تو کوص جهرمی کیر کردی تو ایران ننتو گاییدم کیر توت بخاطر همینه که همه گیمرا بهت میگن کیر اخه چرا ما باید با پینگ ۶۰۰ بازی کنیم من ازت شکایت میکنم و کوس ننتو میگام یه بتزی دیگه بیاد خو ایران فیلترش کنی من و همه گیمرا ننتو با خودت کیر میشی,1
com.burakgon.dnschanger,sÅs Team,Good,5
com.burakgon.dnschanger,Rishi8640,Thank you so much. I don't have to buy a new sim card to play pubg mobile. Thanks a lot.,4
com.burakgon.dnschanger,احسان آویژگان,بدک نیست ولی دی ان اس توش تند تند قطع میشه,5
com.burakgon.dnschanger,Boy Laura,Very 100000000 % star for this apps.. very gud apps...,5
com.burakgon.dnschanger,Sharon W.,Whatever...,2
com.burakgon.dnschanger,Suraj Suraj Kushwaha,Op,5
com.burakgon.dnschanger,علی محمدی,خیلی عالی پینگ بازی یو خیلی کم میکنه,5
com.burakgon.dnschanger,Mi Mi,Thenk you,5
com.burakgon.dnschanger,Greg Steele,#INCLUDE node. Js,5
com.burakgon.dnschanger,DEVARAKONDA MURALIDHAR,excellent DNS servers. good.,5
com.burakgon.dnschanger,Asri Jojo,Cool app,5
com.burakgon.dnschanger,AMAZIGH,💯💗,5
com.burakgon.dnschanger,Ismail Aman,Nice,5
com.burakgon.dnschanger,User 4979,Must use,5
com.burakgon.dnschanger,Ahmed Ibrahim,❤️❤️❤️,4
com.burakgon.dnschanger,Hein Htet Aung,good app,5
com.burakgon.dnschanger,Insanity,Nice,5
com.burakgon.dnschanger,jeetu game wala,Nice app,5
com.burakgon.dnschanger,محمد جواد جهانی,Ok,5
com.burakgon.dnschanger,Corey Barnes,Yea I love this app so far,5
com.burakgon.dnschanger,Bilal Khan,Thank you ❤️,5
com.burakgon.dnschanger,Sachint Kumar,Good,5
com.burakgon.dnschanger,ALIF NHADHAR MOHAMAD NOOR,Thanksss !!,5
com.burakgon.dnschanger,karl dian,Good application,4
com.burakgon.dnschanger,Shadiya Sherin,Myr,1
com.burakgon.dnschanger,Mike,Works well for me,5
com.burakgon.dnschanger,Airashi Qual,Because of DNS Changer i can play with low ping now 😍😍 Good App ☺️,5
com.burakgon.dnschanger,Carlston Isaac,"I may be rating this app a little bit too early to give a full star but I believe it does a great job of getting better internet service as it is described. The only issue I'm having is when it loses signal for whatever reason, The phone shuts down and restarts itself",5
com.burakgon.dnschanger,ONKAR SINGH,Excellent 👌🏻,5
com.burakgon.dnschanger,Kailash Das,Sorry sir DNS changer is verry usefull apk i am used this app .this app long time background show apk not problem show my device thank you problem fix DNS Changer Team,5
com.burakgon.dnschanger,علیرضا مهدی نیا,Gg,5
com.burakgon.dnschanger,Young Bad,Good job,4
com.burakgon.dnschanger,prakash pavi,Good,5
com.burakgon.dnschanger,Sarvarjon Karimjonov,"Thanks for Programmists. This programm very good very for Pubg mobile, Among Us and other online games thanks.",5
com.burakgon.dnschanger,Rajveer Giri,Beat,5
com.burakgon.dnschanger,Shuiab Abdikadir,Good app,3
com.burakgon.dnschanger,Sadegh saedi,Very great,5
com.burakgon.dnschanger,Aryan mirzaie Aryan,Bad,1
com.burakgon.dnschanger,BetBoy 986,GOOOOOOOOOOOOD😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰,5
com.burakgon.dnschanger,otaku anime9,amazing,4
com.burakgon.dnschanger,Abhinav,Nice App 🔥,5
com.burakgon.dnschanger,Wak Nabil,mantab👍,4
com.burakgon.dnschanger,B Barui,Good,5
com.burakgon.dnschanger,Amir Yari,Great,5
com.burakgon.dnschanger,Steven Marchitto,"Decreased my Mbps by more than half, on even the fastest DNS.",1
com.burakgon.dnschanger,GUJJU official king,It's amazing app,5
com.burakgon.dnschanger,am ir,👌,5
com.burakgon.dnschanger,Md Rana,Paakz,5
com.burakgon.dnschanger,Liaqat Ali,A.....1,5
com.burakgon.dnschanger,AMIT CREATION,This app is very helpfull,5
com.burakgon.dnschanger,Mohamed Elbawab,حلو,5
com.burakgon.dnschanger,Bhaskar Vishwakarma,I have a good experience in this app,5
com.burakgon.dnschanger,Xyro Perves,"1000/5 stars yeah,it really makes my internet connection fast❤️ from 200ms to 50ms , working 101%",5
com.burakgon.dnschanger,Harpito Jasri,Good,5
com.burakgon.dnschanger,محمد بارانی,Good,5
com.burakgon.dnschanger,Derrick Anderson,Does what it says ...easy interface.,5
com.burakgon.dnschanger,PĂŇĎĂ ĞĂMÎŇĞ,Op app,5
com.burakgon.dnschanger,Amit Hazra,Op,5
com.burakgon.dnschanger,koko linhtun,Like,5
com.burakgon.dnschanger,Amit Mahato,Amit mahati,5
com.burakgon.dnschanger,محمد ماندگار,Wow,5
com.burakgon.dnschanger,Ninja,❤,5
com.burakgon.dnschanger,zwe pyae,"Q,#“£$",5
com.burakgon.dnschanger,Jeet Adhikari,Very nice,5
com.burakgon.dnschanger,عرفان موسوی,Perfect,5
com.burakgon.dnschanger,M͜͡4٭ SaMir,Good dns for pubg in iran guys,4
com.burakgon.dnschanger,rajesh Sharma,Super aap,5
com.burakgon.dnschanger,Pouya Shojaei,Nice,4
com.burakgon.dnschanger,Tenesh Abu ZUZOO Mustafents,D best n d fastest servers I tried others but this really works with the best options N advantage,5
com.burakgon.dnschanger,Antonio Sanchez,👍👍👍,5
com.burakgon.dnschanger,شاهزاده قم,عالیه تو یوتوب سرچ کنید کد دی ان اس رو براتون میاره لایک کنید بیاد بالا دمتون گرم,5
com.burakgon.dnschanger,Yahya Barshan,Bad ni,5
com.burakgon.dnschanger,Ahmed Rasel,Very poor... Fake app,1
com.burakgon.dnschanger,PH PARTHO,Good V,5
com.burakgon.dnschanger,Aabhishek Pujari,Mast hai bhai,2
com.burakgon.dnschanger,Peer Kristijan,It works,5
com.burakgon.dnschanger,Mohammed Naseer,Fast,5
com.burakgon.dnschanger,Bishal Das,Vhalo,5
com.burakgon.dnschanger,بیتا کرد,عالی,5
com.burakgon.dnschanger,Pistol Giler,Very easy...,4
com.burakgon.dnschanger,Lenworth Woodham,"March 10, 2022: DNS Changer is magnificent. I love it. Having secure services is most important. Make for smooth and safe communication. Love it. Lenworth! January 14, 2022: Yes, I love DNS Cha ger. It's awesome and does what it said it would do. Great service. Thank you! Lenworth",5
com.burakgon.dnschanger,Rupanjal Neog,May be Excellent. Using it to best results. Be a Great one.,5
com.burakgon.dnschanger,Habibe Talebi,Very good,5
com.burakgon.dnschanger,Darren Young,Gd stuff,5
com.burakgon.dnschanger,DCHRIST PHENOM,Good App....,4
com.burakgon.dnschanger,Prakash_82 Prakash,Vry good 👍,5
com.burakgon.dnschanger,میلاد مرادی,بەترین دی آن اس برا پابجی پینگ 60 رو شاخشە اگە ی آیپی خوب داشتە باشی,5
com.burakgon.dnschanger,Raju Singh,"Nice app , this works for as long as we disconnect it , it connects always to a right server .. loved it during PUBG ban... Review from INDIA ....",5
com.burakgon.dnschanger,Hidmo Markam,Achcha,5
com.burakgon.dnschanger,karim gholami,Well Ucucichuchchc,5
com.burakgon.dnschanger,Adris Fadee,عالی ترین فیلترشکن فقت برای پابجی عالی است,5
com.burakgon.dnschanger,Op Gaming,Good,5
com.burakgon.dnschanger,TEJA RAVADI,Bad,1
com.burakgon.dnschanger,weston gondwe,Its great app.no problem.,4
com.burakgon.dnschanger,praison praison,nice 👍👍,5
com.burakgon.dnschanger,James Meranda,In combination with my router I easily got 26 ms,5
com.burakgon.dnschanger,محمدسعيد الساعدي,Good,5
