Package Name,Reviewer name,Review,Rating
com.mggames.dotsnbox,063_Krishna Bhandari,Can't play with friends,1
com.mggames.dotsnbox,Arpita Verma,Very bad game 😡😡😡😡😡,1
com.mggames.dotsnbox,Abi Abj,👎👎👎👎,1
com.mggames.dotsnbox,Akanksha Singh,Good,3
com.mggames.dotsnbox,Marthala Guru Lakshmi,Excellent,5
com.mggames.dotsnbox,Jitendra Charan,👍👍👍👍👍,5
com.mggames.dotsnbox,rambabu chappidi,good game i like it,5
com.mggames.dotsnbox,majeed khan,Good,5
com.mggames.dotsnbox,Rakesh Kumar garnaik,"the game's graphic wasn't good, it's not that much fun to play like that",1
com.mggames.dotsnbox,Vipin Pathak,Good,3
com.mggames.dotsnbox,Krishna Dev Sawariya Saawariya,Good,5
com.mggames.dotsnbox,Mukesh Dahiya,Lovely,5
com.mggames.dotsnbox,Claudia Kubeka,I really love this have been playing it since childhood @ school we use to make dots on a page of a book and play and we use endlessly it's areal boredom killer,5
com.mggames.dotsnbox,arun aravindh Aravindh,It's a funny & brain game.,5
com.mggames.dotsnbox,Aryan Yadav,I am the champ of this 💪 game,5
com.mggames.dotsnbox,Elizabeth Wright,"Exillirating, fun",5
com.mggames.dotsnbox,saimadhav gattu,superb,5
com.mggames.dotsnbox,PAVAN CHIRAG,The single player is the worst glitch game I have ever played . 👎👎👎,1
com.mggames.dotsnbox,Anil Kumar,This is so bad game it wastes my time i open it its not working a black page open on my screen 🙄🙄,1
com.mggames.dotsnbox,wisnhu wardhana,NEED BIGGER SPACE,5
com.mggames.dotsnbox,Mero Eladl,Very good,5
com.mggames.dotsnbox,Jamie Shelton,Small faced phones have a hard time,3
com.mggames.dotsnbox,Garima Kheskani,The controls are really bad never download this.,1
com.mggames.dotsnbox,muntazir raza,Lines are misbehaving.,1
com.mggames.dotsnbox,Sajid Hussain,Very good game 👍,5
com.mggames.dotsnbox,Ripan Bora,Good game,5
com.mggames.dotsnbox,Angelina Arora,This game is really good 😊😊😊😍😍,3
com.mggames.dotsnbox,Ajji's Kitchen,Fabulous,5
com.mggames.dotsnbox,PRAMOD KUMAR,Dots game,5
com.mggames.dotsnbox,vanita devarkonda,School memories.,5
com.mggames.dotsnbox,Fatema Garbadawala,Awesome,5
com.mggames.dotsnbox,suffiyan kumarsanu,Enjoy,5
com.mggames.dotsnbox,Vkrissnan Kumar,Very nice and sooper,5
com.mggames.dotsnbox,bailochan pradhan,Bakwash game touch sensor not working properly,1
com.mggames.dotsnbox,Majed,Useless,1
com.mggames.dotsnbox,Priya Dharishini,My favo game very nizz,5
com.mggames.dotsnbox,Jaidah Resendiz,Really fun and cool,5
com.mggames.dotsnbox,parents action group fight for right,Itz good,5
